,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
824,151522401,11/27/2015,11/27/2015,1950,,N Hollywood,1585,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0104 0325,0.0,M,W,403.0,DRUG STORE,,,IC,Invest Cont,440.0,,,,10900    VENTURA                      BL,,"(34.143, -118.3727)"
825,101804435,01/07/2010,01/07/2010,1030,18.0,Southeast,1804,310,BURGLARY,0344 1300 1607,45.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,600    CAMELOT                      WY,,"(33.9578, -118.2651)"
826,151522405,11/28/2015,11/23/2015,1200,,N Hollywood,1505,649,DOCUMENT FORGERY / STOLEN FELONY,3004 3037 3030 3028 3101 3401 3701 4015 1822 0923,34.0,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,649.0,,,,7200    LANKERSHIM                   BL,,"(34.2012, -118.3878)"
827,151522406,11/28/2015,11/27/2015,1900,,N Hollywood,1532,330,BURGLARY FROM VEHICLE,0344 1606 1601,33.0,M,W,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330.0,,,,12200    BURBANK                      BL,,"(34.1797, -118.4014)"
828,151522407,11/28/2015,11/27/2015,1600,,N Hollywood,1538,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,61.0,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,5800    TUJUNGA                      AV,,"(34.1758, -118.379)"
829,151522408,11/28/2015,11/23/2015,1400,,N Hollywood,1519,649,DOCUMENT FORGERY / STOLEN FELONY,1822 0924,44.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,649.0,,,,6500    VINELAND                     AV,,"(34.1885, -118.3703)"
830,151522409,11/27/2015,11/27/2015,1720,,N Hollywood,1555,350,"THEFT, PERSON",0344 0346,20.0,M,W,101.0,STREET,,,AO,Adult Other,350.0,,,,HUSTON,BAKMAN,"(34.16, -118.3774)"
831,151522413,11/23/2015,11/23/2015,830,,N Hollywood,1557,354,THEFT OF IDENTITY,0100 0922,23.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,10800    OTSEGO                       ST,,"(34.1627, -118.3659)"
832,151522414,11/28/2015,11/26/2015,1530,,N Hollywood,1548,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,44.0,F,B,119.0,"PORCH, RESIDENTIAL",,,IC,Invest Cont,341.0,,,,11100    CHANDLER                     BL,,"(34.1681, -118.3724)"
833,151522415,11/28/2015,11/27/2015,2200,,N Hollywood,1562,330,BURGLARY FROM VEHICLE,0344,58.0,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,12400    RYE                          ST,,"(34.1513, -118.403)"
834,151522416,11/28/2015,11/18/2015,1200,,N Hollywood,1525,354,THEFT OF IDENTITY,1822,48.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,5800    RADFORD                      AV,,"(34.1765, -118.3903)"
835,151522417,11/28/2015,11/27/2015,1515,,N Hollywood,1531,626,INTIMATE PARTNER - SIMPLE ASSAULT,0419 2000,38.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,626.0,,,,5900    WHITSETT                     AV,,"(34.174, -118.4095)"
836,151522418,11/28/2015,11/27/2015,1100,,N Hollywood,1512,310,BURGLARY,0321 1606 0352 1602 0344,50.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,7100    COLDWATER CANYON             AV,,"(34.1995, -118.4138)"
837,151522420,11/28/2015,11/27/2015,1450,,N Hollywood,1515,624,BATTERY - SIMPLE ASSAULT,0400,23.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,11800    VANOWEN                      ST,,"(34.194, -118.39)"
838,151522421,11/28/2015,11/07/2015,1200,,N Hollywood,1544,354,THEFT OF IDENTITY,1822 0930,49.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,12400    OTSEGO                       ST,,"(34.1631, -118.4033)"
839,151522422,11/28/2015,11/28/2015,1650,,N Hollywood,1545,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 0416 0417,22.0,M,B,736.0,SKATEBOARD FACILITY/SKATEBOARD PARK*,302.0,BLUNT INSTRUMENT,IC,Invest Cont,230.0,,,,MAGNOLIA                     BL,COLFAX                       AV,"(34.1649, -118.3877)"
840,151522423,11/28/2015,11/28/2015,1555,,N Hollywood,1529,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,24.0,M,H,402.0,MARKET,,,IC,Invest Cont,442.0,,,,10800    OXNARD                       ST,,"(34.1829, -118.365)"
841,151522432,11/28/2015,11/28/2015,2345,,N Hollywood,1513,761,BRANDISH WEAPON,0302 1402,18.0,M,O,108.0,PARKING LOT,102.0,HAND GUN,IC,Invest Cont,761.0,998.0,,,6600    WHITSETT                     AV,,"(34.1903, -118.4052)"
842,151522433,11/28/2015,11/28/2015,1640,,N Hollywood,1505,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0.0,M,O,243.0,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,AA,Adult Arrest,442.0,,,,11600    SHERMAN                      WY,,"(34.2012, -118.3845)"
843,151522435,11/28/2015,11/27/2015,1700,,N Hollywood,1596,310,BURGLARY,1607 0321 0344,0.0,M,O,406.0,OTHER STORE,,,IC,Invest Cont,310.0,,,,10700    VENTURA                      BL,,"(34.1379, -118.364)"
844,151522437,11/29/2015,11/28/2015,2200,,N Hollywood,1538,510,VEHICLE - STOLEN,,0.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,5900    TUJUNGA                      AV,,"(34.1776, -118.379)"
845,151522438,11/28/2015,11/28/2015,1510,,N Hollywood,1585,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 1309 0603 0305 1266 0449,20.0,F,W,101.0,STREET,513.0,STUN GUN,AA,Adult Arrest,230.0,,,,10900    BLUFFSIDE                    DR,,"(34.1414, -118.3686)"
846,151522439,11/28/2015,11/28/2015,2320,,N Hollywood,1516,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 0416,33.0,M,H,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,,,,VANOWEN,TUJUNGA,"(34.194, -118.379)"
847,151522440,11/29/2015,11/28/2015,2100,,N Hollywood,1585,330,BURGLARY FROM VEHICLE,0344 1609,45.0,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,11100    AQUA VISTA                   ST,,"(34.145, -118.3725)"
848,151522441,11/27/2015,11/24/2015,900,,N Hollywood,1583,310,BURGLARY,0352 0344 1606,34.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,12000    HOFFMAN                      ST,,"(34.1448, -118.3926)"
849,151522442,11/28/2015,11/27/2015,1800,,N Hollywood,1563,310,BURGLARY,0344 1606,35.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,11400    WOODBRIDGE                   ST,,"(34.1486, -118.379)"
850,151522444,11/28/2015,11/16/2015,1807,,N Hollywood,1515,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 0344,36.0,F,W,119.0,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440.0,,,,6700    HINDS                        AV,,"(34.1921, -118.391)"
851,151522445,11/29/2015,11/28/2015,2315,,N Hollywood,1555,480,BIKE - STOLEN,0344,29.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480.0,,,,11000    LA MAIDA                     ST,,"(34.1588, -118.3709)"
852,151522446,11/29/2015,11/29/2015,830,,N Hollywood,1517,624,BATTERY - SIMPLE ASSAULT,0400 1310 0561,54.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,ELMER,KITTRIDGE,"(34.1903, -118.3768)"
853,151522449,11/29/2015,11/29/2015,1000,,N Hollywood,1591,903,CONTEMPT OF COURT,0561,61.0,F,W,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,903.0,,,,11200    BRIARCLIFF                   LN,,"(34.1256, -118.3788)"
854,151522450,11/29/2015,11/29/2015,350,,N Hollywood,1583,320,"BURGLARY, ATTEMPTED",1601 1309 1420 0216 1607,0.0,M,W,103.0,ALLEY,,,IC,Invest Cont,320.0,,,,11700    VENTURA                      BL,,"(34.1451, -118.3875)"
855,151522451,11/29/2015,11/28/2015,1800,,N Hollywood,1595,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,46.0,M,W,101.0,STREET,,,IC,Invest Cont,420.0,,,,11200    CANTON                       DR,,"(34.1346, -118.3774)"
856,151522452,11/29/2015,11/28/2015,1700,,N Hollywood,1555,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,49.0,M,W,101.0,STREET,,,IC,Invest Cont,420.0,,,,11000    BLIX                         ST,,"(34.1566, -118.3706)"
857,151522453,11/29/2015,05/01/2015,1,,N Hollywood,1503,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,0.0,M,W,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,341.0,,,,12200    SHERMAN                      WY,,"(34.2008, -118.3982)"
858,151522454,11/29/2015,11/25/2015,1130,,N Hollywood,1566,888,TRESPASSING,1501,36.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888.0,,,,10900    LANDALE                      ST,,"(34.1513, -118.3684)"
